Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,Unnamed: 21
35.55900000000006,1204,,,,-0.0625,0.00390625,-1.00390625,,0.2692076359783575,22.20400047302246,0.166015625,671,0,3.68621101602912,,20.777098403762253,,0.0730309889498281,0.1328125,,
35.563995,1204,,,,-0.0625,-0.078125,-1.04296875,0.0141995919666959,,22.20600128173828,0.1806640625,671,0,4.011826403439045,0.9983706532821488,24.88568928172761,0.2696469844073802,0.0671035106971691,0.1328125,,
35.57,1204,,,,-0.0625,-0.02734375,-0.92578125,,0.2832848355285591,22.200000762939453,0.15625,670,0,3.4687501192092896,,28.73742154495771,,0.081667697525913,0.1328125,,
35.57600000000006,1204,,,,0.0625,0.0078125,-1.15625,,,22.20400047302246,0.1611328125,670,0,3.5777930449694395,,27.84063569795035,,,0.1328125,,
35.583000000000055,1204,,,,0.0,-0.048828125,-1.056640625,0.0145962552445992,0.2692076359783575,22.20199966430664,0.15625,670,0,3.4690624475479126,1.0234950480214269,29.503506019180435,0.2630277855264442,0.0776024185349114,0.1328125,,
35.58800000000006,1204,,,,0.0625,0.0,-1.14453125,,,22.20800018310547,0.166015625,670,0,3.686875030398369,,27.75656112850576,,,0.1328125,,
35.594,1204,,,,0.0625,0.01953125,-1.21484375,0.0096524146902283,0.2832848355285591,22.20199966430664,0.166015625,669,0,3.685878850519657,0.6766760359889668,18.358607632846237,0.4186417435553726,0.0768567950866371,0.1328125,,
35.599,1204,,,,-0.0625,-0.046875,-1.05859375,,,,,669,0,,,,,,0.1328125,,
35.60899499999999,1204,,,,0.0,0.05078125,-1.05078125,0.0096524146902283,0.2866805569467755,22.20600128173828,0.1611328125,671,0,3.578115440905094,0.6778844706176301,18.94529346001641,0.4229047416967331,0.0801205443707704,0.1328125,,
35.61500000000006,1204,,,,-0.03125,-0.01953125,-1.09765625,0.0063247854408785,0.2866805569467755,22.20400047302246,0.15625,671,0,3.4693750739097595,0.4443889704695286,12.80890537928294,0.6451117736875356,0.0826317566822503,0.1328125,,
35.621,1204,,,,-0.125,0.04296875,-0.953125,,,22.20199966430664,0.1708984375,671,0,3.7942870520055294,,11.714645729387277,,,0.1328125,,
35.626,1204,,,,0.0625,-0.015625,-0.9609375,,,22.20800018310547,0.166015625,671,0,3.686875030398369,,12.05708745614013,,,0.1328125,,
35.632000000000055,1204,,,,-0.125,-0.09765625,-0.896484375,0.0067424145202557,0.2837791494058943,22.20800018310547,0.17578125,670,0,3.903750032186508,0.4732409890637863,12.122727765914917,0.5996504021498544,0.0726939857998408,0.1328125,,
35.637995,1204,,,,0.0,0.05859375,-1.0859375,,,22.20800018310547,0.166015625,670,0,3.686875030398369,,12.82737186043339,,,0.1328125,,
35.644000000000055,1204,,,,0.0,-0.00390625,-1.02734375,0.0124032134697685,0.2748600077061483,22.20400047302246,0.185546875,670,0,4.119882900267839,0.8697117269894765,21.110107933721498,0.3160357612488237,0.066715490308785,0.130859375,,
35.648995000000056,1204,,,,-0.0625,-0.05078125,-1.0390625,,,22.196001052856445,0.166015625,670,0,3.684882987290621,,23.598883106532423,,,0.130859375,,
35.654,1204,,,,-0.0625,0.078125,-0.98046875,0.0131991279985559,0.2748600077061483,22.20800018310547,0.17578125,669,0,3.903750032186508,0.9253230133895088,23.703439148516157,0.2970422260431209,0.0704092232955289,0.130859375,,
35.659994999999995,1204,,,,0.0,-0.083984375,-0.982421875,,,22.20400047302246,0.17578125,669,0,3.90304695814848,,23.706613144617457,,,0.130859375,,
35.664995,1204,,,,-0.125,0.05078125,-0.95703125,,,22.20800018310547,0.166015625,670,0,3.686875030398369,,25.11327839395977,,,0.130859375,,
35.670995000000055,1204,,,,,,,0.0146175414292727,0.2706261018872328,22.21200180053711,0.166015625,670,0,3.6875393614172935,1.025765162725223,27.817063417893213,0.2638285172097688,0.0733893459467287,,,
35.677000000000056,1204,,,,-0.03125,-0.046875,-1.017578125,,,22.20400047302246,0.17578125,670,0,3.90304695814848,,26.28751361897902,,,0.130859375,,
35.68499500000005,1204,,,,-0.125,-0.015625,-0.90625,0.0134883177329754,0.2642215133895838,22.20400047302246,0.1611328125,670,0,3.5777930449694395,0.9468534634496072,26.46473542624081,0.2790521697274712,0.0738504184195597,0.130859375,,
35.690994999999994,1204,,,,0.03125,-0.09765625,-0.9765625,0.0134883177329754,0.2642215133895838,22.20400047302246,0.1708984375,670,0,3.7946289870888,0.9468973033711504,24.953620145552105,0.279039250031551,0.0696303945098706,0.130859375,,
35.69700000000006,1204,,,,-0.25,0.05078125,-0.90625,,,22.20400047302246,0.17578125,670,0,3.90304695814848,,24.26091246527141,,,0.1328125,,
