Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
2.81628,1037,,,,-0.0625,-0.015625,-1.01171875,-5.61E-05,-0.331067166,22.20149803,0.079345703,0,0,1.761593472,0,0,0,0,0.05859375,,-0.00324666
2.84612,1037,,,,-0.0625,-0.013671875,-1.0078125,-7.83E-05,-0.399716545,22.20285606,0.07114955,0,0,1.579723226,0,0,0,0,0.05859375,,-0.00391988
2.869125,1037,,,,-0.0625,-0.015625,-1.009765625,-9.42E-05,-0.186017672,22.20079803,0.079101563,0,0,1.756117813,0,0,0,0,0.05859375,,-0.00182421
2.904215,1047,,,,-0.0625,-0.01171875,-1.009765625,-0.000252697,0.024359457,22.20228577,0.080915175,0,0,1.796501847,0,0,0,0,0.05859375,,0.000238885
2.930085,1052,,,,-0.0625,-0.01171875,-1.01171875,-0.000275043,-0.157976615,22.20276833,0.078125,0,0,1.734591275,0,0,0,0,0.05859375,,-0.001549221
2.954945,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.000148481,-0.408574529,22.20199966,0.079345703,0,0,1.761633274,0,0,0,0,0.05859375,,-0.004006747
2.978395,1052,,,,-0.0625,-0.01171875,-1.01171875,-4.64E-05,-0.250238058,22.20199966,0.075683594,0,0,1.680327123,0,0,0,0,0.05859375,,-0.002453997
3.00129,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.000105468,-0.193768408,22.20171738,0.083705358,0,0,1.858402706,0,0,0,0,0.05859375,,-0.001900219
3.024185,1052,,,,-0.0625,-0.01171875,-1.009765625,-0.000143618,-0.05646965,22.20049858,0.073242188,0,0,1.62601308,0,0,0,0,0.05859375,,-0.000553778
3.04901,1052,,,,-0.0625,-0.013671875,-1.01171875,-8.97E-05,0.319994685,22.20114136,0.080915175,0,0,1.796409247,0,0,0,0,0.05859375,,0.003138076
3.07281,1052,,,,-0.0625,-0.013671875,-1.009765625,-5.91E-05,0.652169099,22.20199966,0.078125,0,0,1.734531224,0,0,0,0,0.05859375,,0.006395594
3.10374,1052,,,,-0.0625,-0.01171875,-1.009765625,-4.22E-05,-0.252452554,22.20299911,0.080566406,0,0,1.788815847,0,0,0,0,0.05859375,,-0.002475714
3.13144,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.000231087,-0.251345306,22.20279884,0.08203125,0,0,1.821323343,0,0,0,0,0.05859375,,-0.002464855
3.155415,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.000163546,0.135084262,22.20044327,0.080295138,0,0,1.782587657,0,0,0,0,0.05859375,,0.001324724
3.18077,1052,,,,-0.0625,-0.013671875,-1.01171875,-0.000255474,-0.095223332,22.19999886,0.079345703,0,0,1.761474519,0,0,0,0,0.05859375,,-0.000933822
3.20393,1052,,,,-0.0625,-0.013671875,-1.01171875,-0.000212234,-0.257988795,22.20099831,0.075683594,0,0,1.680251337,0,0,0,0,0.05859375,,-0.002530006
3.22859,1052,,,,-0.0625,-0.013671875,-1.009765625,-0.000139214,0.179374183,22.20199966,0.075683594,0,0,1.680327123,0,0,0,0,0.05859375,,0.00175906
3.255555,1052,,,,-0.0625,-0.013671875,-1.01171875,-0.000188365,-0.025466705,22.20249939,0.080566406,0,0,1.788775586,0,0,0,0,0.05859375,,-0.000249743
3.28194,1052,,,,-0.0625,-0.013671875,-1.01171875,-7.42E-05,-0.332174414,22.20310974,0.074869789,0,0,1.662342146,0,0,0,0,0.05859375,,-0.003257518
3.305055,1052,,,,-0.0625,-0.013671875,-1.009765625,2.97E-05,-0.301171468,22.20100021,0.072021484,0,0,1.59894899,0,0,0,0,0.05859375,,-0.002953483
3.330445,1052,,,,-0.0625,-0.01171875,-1.01171875,-3.70E-05,-0.252452554,22.20199966,0.078125,0,0,1.734531224,0,0,0,0,0.05859375,,-0.002475714
3.354415,1052,,,,-0.0625,-0.013671875,-1.01171875,-0.000166796,-0.021037713,22.20350075,0.072021484,0,0,1.599129082,0,0,0,0,0.05859375,,-0.000206309
3.37871,1052,,,,-0.0625,-0.01171875,-1.009765625,-0.000147081,0.470580419,22.19949913,0.076904297,0,0,1.707236872,0,0,0,0,0.05859375,,0.004614817
3.4026,1052,,,,-0.0625,-0.01171875,-1.009765625,-6.48E-05,0.631131386,22.20300102,0.080566406,0,0,1.788816,0,0,0,0,0.05859375,,0.006189285
3.42662,1052,,,,-0.0625,-0.01171875,-1.009765625,-6.99E-05,-0.04539717,22.20199776,0.085449219,0,0,1.897143363,0,0,0,0,0.05859375,,-0.000445194
3.450755,1052,,,,-0.0625,-0.013671875,-1.01171875,-0.00012024,-0.518192085,22.20299911,0.070800781,0,0,1.571989683,0,0,0,0,0.05859375,,-0.005081728
3.47414,1052,,,,-0.0625,-0.01171875,-1.01171875,-4.80E-05,-0.57244724,22.20299911,0.072021484,0,0,1.599092954,0,0,0,0,0.05859375,,-0.00561379
3.49814,1052,,,,-0.0625,-0.013671875,-1.009765625,-7.88E-05,-0.060898643,22.20199966,0.076904297,0,0,1.707429173,0,0,0,0,0.05859375,,-0.000597212
3.524575,1052,,,,-0.0625,-0.013671875,-1.01171875,-4.87E-05,0.048718914,22.20114136,0.080915175,0,0,1.796409247,0,0,0,0,0.05859375,,0.000477769
3.5487,1052,,,,-0.0625,-0.013671875,-1.009765625,-4.93E-05,-0.37978608,22.20088768,0.077039927,0,0,1.710354772,0,0,0,0,0.05859375,,-0.003724429
3.574075,1052,,,,-0.0625,-0.01171875,-1.01171875,-0.000153288,-0.220342361,22.20199966,0.070800781,0,0,1.571918922,0,0,0,0,0.05859375,,-0.00216082
3.602845,1052,,,,-0.0625,-0.013671875,-1.009765625,-7.71E-05,0.059791394,22.19999886,0.073242188,0,0,1.625976479,0,0,0,0,0.05859375,,0.000586353
