rank,AR,lambda,aoaRoot (deg),aoaTip (deg),eta_pred,LD_pred,DMS,stage
3211,7.52408490438593,0.6821785356675897,16.339825942509464,6.977048666759463,0.42357026411220783,16.45528095050382,0.5596970931358102,coarse
3212,9.443544674083975,0.8424159363504867,14.768670624627898,4.222722810407296,0.27901882150622676,17.975628686111552,0.559643377267009,coarse
3213,9.424103032599916,0.6399035142146937,18.487021736820616,7.712330377554124,0.4012090738018008,17.91582701762116,0.5596073970207136,refine
3214,9.920305903900092,0.5,18.50128419164594,6.232807287212809,0.375531978458114,18.18637687176228,0.5595695019688458,refine
3215,7.393103533845824,0.5172858316591158,14.536180542006381,7.575351698613217,0.44065532071046215,16.274551835380137,0.5595554946855817,coarse
3216,9.868651934028525,0.6267291063781759,18.421973053616725,6.932431122387459,0.3739753890738443,18.20274070656873,0.5595520263265175,refine
3217,6.946703605948073,0.5881110826032578,17.41306776129919,7.785567946348387,0.4778313978462983,15.883192907062067,0.5595188809084497,coarse
3218,8.664868661221519,0.9287186008249975,13.596105557687313,6.911687352634701,0.33058313591692473,17.43207104495984,0.5594879327848701,coarse
3219,9.546582232511286,0.8841762529252403,16.8377585698386,3.1761211948529304,0.2718772604419328,18.049396094623063,0.5594481785356609,coarse
3220,9.801985079210825,0.5941126859481665,12.427135848330087,3.548365920605259,0.26240757483977484,18.14889449653225,0.5594302264061126,coarse
3221,9.885045265075473,0.980011628975037,15.102657746354712,4.147788159480278,0.25049707424168366,18.27414438018324,0.5594227793908008,coarse
3222,9.194999311047043,0.6925001893359217,13.247645966865832,4.6625483042226215,0.2979814395332779,17.7745434936356,0.559415393513567,coarse
3223,8.829068776781362,0.7644072454751698,13.688425926429847,5.542524885490723,0.3211435485543106,17.530870979737777,0.5594153339273459,coarse
3224,7.390694539343613,0.6870453566293679,15.333784032319931,7.929335246722227,0.4346546809418912,16.33655946699249,0.5593950806170844,coarse
3225,9.125176141726064,0.6921040016022464,15.059577570388296,3.8240261022728372,0.3026074957773077,17.725590396416475,0.5593745120081853,coarse
3226,7.6704771706161825,0.7474242807950783,14.253620802351413,7.994238161712401,0.40941598730575335,16.601742955023603,0.5593471524518608,coarse
3227,8.609030425863422,0.7809234735329844,17.195345389617298,4.228755731176856,0.33629640156087853,17.370548464416704,0.5592850789003333,coarse
3228,7.531991768677374,0.8379195060176259,17.924269065350767,6.931734147549628,0.4192794498372094,16.497432287827724,0.5592692689655809,coarse
3229,7.6081911926282775,0.6884585742277758,15.994533631490071,6.93090945049642,0.41601480409093644,16.531622658466706,0.5592471357002073,coarse
3230,7.646622780518944,0.7852026583225555,17.72985751427993,6.402465976346178,0.410521282395272,16.589195592188965,0.5592155768952173,coarse
3231,10.0,0.5,19.37635972393476,5.636170441195338,0.3706881478474216,18.236559523061235,0.5592150004975898,refine
3232,9.86739592953405,0.5351025463644513,18.357157842974313,6.540081809571384,0.37719679276432144,18.167870889430485,0.5591801183364145,refine
3233,9.62878949334645,0.917149443356343,16.765756670198044,3.2654739724872406,0.2662616311649536,18.10641040811579,0.5591528173015899,coarse
3234,7.8798615764974675,0.6069609261537736,14.524990469454725,6.559090171787272,0.39624941054804125,16.738767308051944,0.5591336392196611,coarse
