Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Airspeed (m/s),Airspeed Pressure (mm H2O),Electrical forward flight efficiency (%),Vibration (g),App message,
31.77899999999907,1185.7894736842106,,,,-0.0625,-0.03125,-1.0546875,0.0127719427529814,0.1183774276679541,22.20400047302246,0.13427734375,533,0,2.9814942041411996,0.7131381240784176,23.91881638032003,0.16599509081208114,0.03970406097168717,1.1154485191702852,0.07509439929275885,4.430296482971157,0.103515625,,
31.794,1185.7894736842106,,,,-0.08203125,-0.005859375,-1.03515625,0.01625286532520552,0.09977618154474889,22.20720100402832,0.1328125,532,0,2.9493938833475113,0.9061218356975861,30.722306736092957,0.11011342803358812,0.03382938511810591,1.1607160035817634,0.0813130820675036,3.9279722147888156,0.103515625,,
31.809999999999068,1185.7894736842106,,,,-0.041015625,-0.048828125,-1.015625,0.00776576830174197,0.1694851842028842,22.207000732421875,0.13916015625,532,0,3.0903296917676926,0.432801000450112,14.005010585215146,0.39160072187129885,0.054843722549854326,1.1460869346845817,0.07927634040652387,6.287714548837865,0.1015625,,
31.82799999999907,1185.7894736842106,,,,-0.041015625,-0.0390625,-1.0234375,0.0031026735288124585,0.20245377063037903,22.20639991760254,0.146484375,532,0,3.2528906129300594,0.17296541117476014,5.317283356754519,0,0.062238112104242474,1.1315655503670072,0.07728013957391577,7.045056141221155,0.1015625,,
31.84400499999989,1185.7894736842106,,,,-0.0625,-0.02734375,-1.017578125,-0.007276722343926676,0.3038740831149606,22.20560073852539,0.13671875,532,0,3.0359219759702682,0.40573017522523835,13.364314973726183,0.7489560837969889,0.1000928500535142,1.133037409697333,0.0774813098289599,11.344768427691399,0.1015625,,
31.86,1185.7894736842106,,,,-0.08203125,0,-1.0703125,-0.007494461468841124,0.3362623880342792,22.202999114990234,0.1416015625,533,0,3.1439793668687344,0.4181594042873883,13.300322791362868,0.8041488116411613,0.10695438767118305,1.1343165291083999,0.07765634921645768,12.136157299626818,0.103515625,,
31.87599999999907,1185.7894736842106,,,,-0.08203125,-0.0234375,-1.001953125,0.0037016927357353454,0.3136314092154056,22.20600128173828,0.13916015625,533,0,3.0901906080543995,0.2067727907325394,6.6912633218675355,0,0.10149257731802817,1.1198810596843243,0.07569239389946694,11.369844138994575,0.103515625,,
31.893,1185.7894736842106,,,,-0.0625,-0.01171875,-1.021484375,0.010611113676730318,0.12441665373452912,22.206401824951172,0.134765625,534,0,2.9926596209406853,0.5928725405304853,19.810891167907936,0.20985396561494427,0.04157394073951556,1.1046578462809424,0.07364851557504595,4.594066790414152,0.103515625,,
31.90799999999907,1185.7894736842106,,,,-0.08203125,0.0234375,-1.064453125,0.01666158932750727,0.10044243068376607,22.20159912109375,0.119140625,533,0,2.64511239528656,0.9292051290679181,35.12913593856007,0.10809500242914012,0.037972840346122444,1.150544452276551,0.07989419656402891,4.370436519820143,0.103515625,,
31.923,1185.7894736842106,,,,-0.041015625,-0.08984375,-0.953125,0.008049949571437428,0.17836134208720975,22.202999114990234,0.12939453125,532,0,2.8729466628283262,0.44853641260935373,15.612416979846873,0.3976518674361249,0.06208306767227574,1.193860890210588,0.08602325528560825,7.41438654826602,0.103515625,,
